siruta
siruta;sirsup;localitate;superior;tip;med;denloc;densup;tipsup;regiune;codp;jud;mnemonic
40615;40606;Bod;Bod;22;3;BOD;BOD;3;7;507015;8;BV
41202;41177;Cuciulata;Hoghiz;23;3;CUCIULATA;HOGHIZ;3;7;507097;8;BV
52240;52160;"Costiş";Cornereva;23;3;COSTIS;CORNEREVA;3;5;327118;11;CS
55614;55598;Rediu;Aiton;23;3;REDIU;AITON;3;6;407026;12;CJ
89543;89428;"Stânceşti-Ohaba";Dobra;23;3;STANCESTI-OHABA;DOBRA;3;5;337228;20;HD
55632;55623;"Aluniş";"Aluniş";22;3;ALUNIS;ALUNIS;3;6;407030;12;CJ
108687;179613;"Şieu";"Şieu";22;3;SIEU;SIEU;3;6;437230;24;MM
111809;114079;Vrata;Vrata;22;3;VRATA;VRATA;3;4;227211;25;MH
142505;142499;Rus;Rus;22;3;RUS;RUS;3;6;457290;31;SJ
145621;145603;Albi;Slimnic;23;3;ALBI;SLIMNIC;3;7;557241;32;SB
163235;163208;"Creţeştii de Sus";"Creţeşti";23;3;"CRETESTII DE SUS";CRETESTI;3;1;737157;37;VS
55641;55623;Corneni;"Aluniş";23;3;CORNENI;ALUNIS;3;6;407031;12;CJ
38768;38731;"Lehneşti";Ripiceni;23;3;LEHNESTI;RIPICENI;3;1;717327;7;BT
38777;38731;"Movila Ruptă";Ripiceni;23;3;"MOVILA RUPTA";RIPICENI;3;1;717328;7;BT
38786;38731;Popoaia;Ripiceni;23;3;POPOAIA;RIPICENI;3;1;717329;7;BT
38802;38731;"Râşca";Ripiceni;23;3;RASCA;RIPICENI;3;1;717331;7;BT
38795;38731;"Ripicenii Vechi";Ripiceni;23;3;"RIPICENII VECHI";RIPICENI;3;1;717332;7;BT
38820;38811;Roma;Roma;22;3;ROMA;ROMA;3;1;717335;7;BT
38839;38811;Cotârgaci;Roma;23;3;COTARGACI;ROMA;3;1;717336;7;BT
38857;38848;"Româneşti";"Româneşti";22;3;ROMANESTI;ROMANESTI;3;1;717340;7;BT
38866;38848;"Dămideni";"Româneşti";23;3;DAMIDENI;ROMANESTI;3;1;717341;7;BT
38875;38848;"Româneşti-Vale";"Româneşti";23;3;ROMANESTI-VALE;ROMANESTI;3;1;717342;7;BT
38884;38848;"Sărata";"Româneşti";23;3;SARATA;ROMANESTI;3;1;717343;7;BT
43260;43242;"Găvani";Gemenele;23;3;GAVANI;GEMENELE;3;2;817061;9;BR
45682;45673;Buda;Buda;22;3;BUDA;BUDA;3;2;127110;10;BZ
93959;93931;Nucetu;"Lupşanu";23;3;NUCETU;LUPSANU;3;3;917161;51;CL
93968;93931;Plevna;"Lupşanu";23;3;PLEVNA;LUPSANU;3;3;917162;51;CL
93977;93931;"Radu Vodă";"Lupşanu";23;3;"RADU VODA";LUPSANU;3;3;917165;51;CL
93986;93931;"Valea Rusului";"Lupşanu";23;3;"VALEA RUSULUI";LUPSANU;3;3;917163;51;CL
104190;104181;"Mânăstirea";"Mânăstirea";22;3;MANASTIREA;MANASTIREA;3;3;917170;51;CL
104207;104181;Coconi;"Mânăstirea";23;3;COCONI;MANASTIREA;3;3;917171;51;CL
104216;104181;Sultana;"Mânăstirea";23;3;SULTANA;MANASTIREA;3;3;917172;51;CL
100647;100638;Mitreni;Mitreni;22;3;MITRENI;MITRENI;3;3;917175;51;CL
100656;100638;"Clăteşti";Mitreni;23;3;CLATESTI;MITRENI;3;3;917176;51;CL
100665;100638;"Valea Roşie";Mitreni;23;3;"VALEA ROSIE";MITRENI;3;3;917177;51;CL
92596;92587;Modelu;Modelu;22;3;MODELU;MODELU;3;3;917180;51;CL
92612;92587;"Radu Negru";Modelu;23;3;"RADU NEGRU";MODELU;3;3;917181;51;CL
92621;92587;"Stoeneşti";Modelu;23;3;STOENESTI;MODELU;3;3;917182;51;CL
92630;92587;Tonea;Modelu;23;3;TONEA;MODELU;3;3;917183;51;CL
104332;104323;Nana;Nana;22;3;NANA;NANA;3;3;917185;51;CL
104350;104341;"Nicolae Bălcescu";"Nicolae Bălcescu";22;3;"NICOLAE BALCESCU";"NICOLAE BALCESCU";3;3;917190;51;CL
104369;104341;"Fântâna Doamnei";"Nicolae Bălcescu";23;3;"FANTANA DOAMNEI";"NICOLAE BALCESCU";3;3;917191;51;CL
104378;104341;Paicu;"Nicolae Bălcescu";23;3;PAICU;"NICOLAE BALCESCU";3;3;917192;51;CL
94232;94223;"Perişoru";"Perişoru";22;3;PERISORU;PERISORU;3;3;917195;51;CL
94241;94223;"Mărculeşti-Gară";"Perişoru";23;3;MARCULESTI-GARA;PERISORU;3;3;917196;51;CL
94250;94223;"Tudor Vladimirescu";"Perişoru";23;3;"TUDOR VLADIMIRESCU";PERISORU;3;3;917197;51;CL
1035;1017;"Bărăbanţ";"Municipiul Alba Iulia";10;1;BARABANT;"MUNICIPIUL ALBA IULIA";1;7;510001;1;AB
1044;1017;"Miceşti";"Municipiul Alba Iulia";10;1;MICESTI;"MUNICIPIUL ALBA IULIA";1;7;510002;1;AB
1026;1017;"Alba Iulia";"Municipiul Alba Iulia";9;1;"ALBA IULIA";"MUNICIPIUL ALBA IULIA";1;7;510___;1;AB
2149;2130;Albac;Albac;22;3;ALBAC;ALBAC;3;7;517005;1;AB
7874;7865;"Şona";"Şona";22;3;SONA;SONA;3;7;517755;1;AB
17833;17824;Oarja;Oarja;22;3;OARJA;OARJA;3;3;117545;3;AG
30782;30773;Rieni;Rieni;22;3;RIENI;RIENI;3;6;417415;5;BH
30791;30773;Cucuceni;Rieni;23;3;CUCUCENI;RIENI;3;6;417416;5;BH
30808;30773;"Ghighişeni";Rieni;23;3;GHIGHISENI;RIENI;3;6;417417;5;BH
30817;30773;Petrileni;Rieni;23;3;PETRILENI;RIENI;3;6;417418;5;BH
30826;30773;Sudrigiu;Rieni;23;3;SUDRIGIU;RIENI;3;6;417419;5;BH
30835;30773;"Valea de Jos";Rieni;23;3;"VALEA DE JOS";RIENI;3;6;417421;5;BH
30853;30844;"Roşia";"Roşia";22;3;ROSIA;ROSIA;3;6;417425;5;BH
30862;30844;Lazuri;"Roşia";23;3;LAZURI;ROSIA;3;6;417426;5;BH
30880;30871;"Săcădat";"Săcădat";22;3;SACADAT;SACADAT;3;6;417430;5;BH
30899;30871;"Borşa";"Săcădat";23;3;BORSA;SACADAT;3;6;417431;5;BH
30906;30871;"Săbolciu";"Săcădat";23;3;SABOLCIU;SACADAT;3;6;417432;5;BH
30924;30915;"Săcueni";"Oraş Săcueni";17;1;SACUENI;"ORAS SACUENI";2;6;417435;5;BH
30933;30915;Cadea;"Oraş Săcueni";18;1;CADEA;"ORAS SACUENI";2;6;417436;5;BH
30942;30915;Ciocaia;"Oraş Săcueni";18;1;CIOCAIA;"ORAS SACUENI";2;6;417437;5;BH
30951;30915;Cubulcut;"Oraş Săcueni";18;1;CUBULCUT;"ORAS SACUENI";2;6;417438;5;BH
30960;30915;Olosig;"Oraş Săcueni";18;1;OLOSIG;"ORAS SACUENI";2;6;417439;5;BH
30979;30915;"Sânnicolau de Munte";"Oraş Săcueni";18;1;"SANNICOLAU DE MUNTE";"ORAS SACUENI";2;6;417441;5;BH
30997;30988;"Sălacea";"Sălacea";22;3;SALACEA;SALACEA;3;6;417445;5;BH
31002;30988;Otomani;"Sălacea";23;3;OTOMANI;SALACEA;3;6;417446;5;BH
31020;31011;"Sălard";"Sălard";22;3;SALARD;SALARD;3;6;417450;5;BH
31039;31011;"Hodoş";"Sălard";23;3;HODOS;SALARD;3;6;417451;5;BH
31048;31011;Sântimreu;"Sălard";23;3;SANTIMREU;SALARD;3;6;417452;5;BH
31066;31057;"Sâmbăta";"Sâmbăta";22;3;SAMBATA;SAMBATA;3;6;417455;5;BH
31075;31057;"Copăceni";"Sâmbăta";23;3;COPACENI;SAMBATA;3;6;417456;5;BH
31084;31057;"Ogeşti";"Sâmbăta";23;3;OGESTI;SAMBATA;3;6;417457;5;BH
31093;31057;Rogoz;"Sâmbăta";23;3;ROGOZ;SAMBATA;3;6;417458;5;BH
31100;31057;"Rotăreşti";"Sâmbăta";23;3;ROTARESTI;SAMBATA;3;6;417459;5;BH
31119;31057;"Zăvoiu";"Sâmbăta";23;3;ZAVOIU;SAMBATA;3;6;417461;5;BH
26591;26582;Sânmartin;Sânmartin;22;3;SANMARTIN;SANMARTIN;3;6;417495;5;BH
32143;26582;"Băile Felix";Sânmartin;23;3;"BAILE FELIX";SANMARTIN;3;6;417500;5;BH
26608;26582;Betfia;Sânmartin;23;3;BETFIA;SANMARTIN;3;6;417497;5;BH
26617;26582;Cihei;Sânmartin;23;3;CIHEI;SANMARTIN;3;6;417498;5;BH
26626;26582;"Cordău";Sânmartin;23;3;CORDAU;SANMARTIN;3;6;417499;5;BH
26635;26582;Haieu;Sânmartin;23;3;HAIEU;SANMARTIN;3;6;417501;5;BH
26644;26582;"Rontău";Sânmartin;23;3;RONTAU;SANMARTIN;3;6;417502;5;BH
26662;26653;Sântandrei;Sântandrei;22;3;SANTANDREI;SANTANDREI;3;6;417515;5;BH
26671;26653;Palota;Sântandrei;23;3;PALOTA;SANTANDREI;3;6;417516;5;BH
31137;31128;Sârbi;Sârbi;22;3;SARBI;SARBI;3;6;417520;5;BH
31146;31128;"Almaşu Mic";Sârbi;23;3;"ALMASU MIC";SARBI;3;6;417521;5;BH
31155;31128;Burzuc;Sârbi;23;3;BURZUC;SARBI;3;6;417522;5;BH
31164;31128;Chioag;Sârbi;23;3;CHIOAG;SARBI;3;6;417523;5;BH
31173;31128;Fegernic;Sârbi;23;3;FEGERNIC;SARBI;3;6;417524;5;BH
31182;31128;"Fegernicu Nou";Sârbi;23;3;"FEGERNICU NOU";SARBI;3;6;417526;5;BH
31191;31128;"Sarcău";Sârbi;23;3;SARCAU;SARBI;3;6;417527;5;BH
31342;31333;"Şimian";"Şimian";22;3;SIMIAN;SIMIAN;3;6;417545;5;BH
31351;31333;"Şilindru";"Şimian";23;3;SILINDRU;SIMIAN;3;6;417546;5;BH
31360;31333;Voivozi;"Şimian";23;3;VOIVOZI;SIMIAN;3;6;417547;5;BH
31388;31379;"Şinteu";"Şinteu";22;3;SINTEU;SINTEU;3;6;417550;5;BH
31397;31379;"Huta Voivozi";"Şinteu";23;3;"HUTA VOIVOZI";SINTEU;3;6;417551;5;BH
31404;31379;Socet;"Şinteu";23;3;SOCET;SINTEU;3;6;417552;5;BH
31413;31379;"Valea Târnei";"Şinteu";23;3;"VALEA TIRNEI";SINTEU;3;6;417553;5;BH
31431;31422;"Şoimi";"Şoimi";22;3;SOIMI;SOIMI;3;6;417555;5;BH
31440;31422;Borz;"Şoimi";23;3;BORZ;SOIMI;3;6;417556;5;BH
31459;31422;Codru;"Şoimi";23;3;CODRU;SOIMI;3;6;417557;5;BH
31468;31422;"Dumbrăviţa de Codru";"Şoimi";23;3;"DUMBRAVITA DE CODRU";SOIMI;3;6;417558;5;BH
31477;31422;"Pocluşa de Beiuş";"Şoimi";23;3;"POCLUSA DE BEIUS";SOIMI;3;6;417559;5;BH
31486;31422;"Sânnicolau de Beiuş";"Şoimi";23;3;"SANNICOLAU DE BEIUS";SOIMI;3;6;417561;5;BH
31495;31422;Ursad;"Şoimi";23;3;URSAD;SOIMI;3;6;417562;5;BH
31501;31422;"Urviş de Beiuş";"Şoimi";23;3;"URVIS DE BEIUS";SOIMI;3;6;417563;5;BH
31217;31208;"Spinuş";"Spinuş";22;3;SPINUS;SPINUS;3;6;417530;5;BH
31226;31208;"Ciuleşti";"Spinuş";23;3;CIULESTI;SPINUS;3;6;417531;5;BH
31235;31208;"Gurbeşti";"Spinuş";23;3;GURBESTI;SPINUS;3;6;417532;5;BH
31244;31208;"Nădar";"Spinuş";23;3;NADAR;SPINUS;3;6;417533;5;BH
36587;39975;Buda;"Coşula";23;3;BUDA;COSULA;3;1;717061;7;BT
31253;31208;"Sălişte";"Spinuş";23;3;SALISTE;SPINUS;3;6;417534;5;BH
31529;31510;"Şuncuiuş";"Şuncuiuş";22;3;SUNCUIUS;SUNCUIUS;3;6;417565;5;BH
31538;31510;"Bălnaca";"Şuncuiuş";23;3;BALNACA;SUNCUIUS;3;6;417566;5;BH
18420;18411;Recea;Recea;22;3;RECEA;RECEA;3;3;117620;3;AG
74180;74171;Secu;Secu;22;3;SECU;SECU;3;4;207530;16;DJ
74199;74171;"Comănicea";Secu;23;3;COMANICEA;SECU;3;4;207531;16;DJ
74206;74171;"Smadovicioara de Secu";Secu;23;3;"SMADOVICIOARA DE SECU";SECU;3;4;207532;16;DJ
74215;74171;"Şumandra";Secu;23;3;SUMANDRA;SECU;3;4;207533;16;DJ
74233;74224;"Siliştea Crucii";"Siliştea Crucii";22;3;"SILISTEA CRUCII";"SILISTEA CRUCII";3;4;207535;16;DJ
70183;70174;"Şimnicu de Sus";"Şimnicu de Sus";22;3;"SIMNICU DE SUS";"SIMNICU DE SUS";3;4;207550;16;DJ
70192;70174;"Albeşti";"Şimnicu de Sus";23;3;ALBESTI;"SIMNICU DE SUS";3;4;207551;16;DJ
70209;70174;Cornetu;"Şimnicu de Sus";23;3;CORNETU;"SIMNICU DE SUS";3;4;207552;16;DJ
70218;70174;Deleni;"Şimnicu de Sus";23;3;DELENI;"SIMNICU DE SUS";3;4;207553;16;DJ
70227;70174;"Dudoviceşti";"Şimnicu de Sus";23;3;DUDOVICESTI;"SIMNICU DE SUS";3;4;207554;16;DJ
70236;70174;"Duţuleşti";"Şimnicu de Sus";23;3;DUTULESTI;"SIMNICU DE SUS";3;4;207556;16;DJ
70245;70174;"Floreşti";"Şimnicu de Sus";23;3;FLORESTI;"SIMNICU DE SUS";3;4;207557;16;DJ
70254;70174;Izvor;"Şimnicu de Sus";23;3;IZVOR;"SIMNICU DE SUS";3;4;207558;16;DJ
70263;70174;Jieni;"Şimnicu de Sus";23;3;JIENI;"SIMNICU DE SUS";3;4;207559;16;DJ
70272;70174;"Leşile";"Şimnicu de Sus";23;3;LESILE;"SIMNICU DE SUS";3;4;207561;16;DJ
70281;70174;"Mileşti";"Şimnicu de Sus";23;3;MILESTI;"SIMNICU DE SUS";3;4;207562;16;DJ
70290;70174;"Româneşti";"Şimnicu de Sus";23;3;ROMANESTI;"SIMNICU DE SUS";3;4;207563;16;DJ
74251;74242;Sopot;Sopot;22;3;SOPOT;SOPOT;3;4;207540;16;DJ
74260;74242;"Başcov";Sopot;23;3;BASCOV;SOPOT;3;4;207541;16;DJ
74279;74242;"Beloţ";Sopot;23;3;BELOT;SOPOT;3;4;207542;16;DJ
74288;74242;Cernat;Sopot;23;3;CERNAT;SOPOT;3;4;207543;16;DJ
74297;74242;Pereni;Sopot;23;3;PERENI;SOPOT;3;4;207544;16;DJ
74304;74242;Pietroaia;Sopot;23;3;PIETROAIA;SOPOT;3;4;207546;16;DJ
74313;74242;Sârsca;Sopot;23;3;SARSCA;SOPOT;3;4;207547;16;DJ
74331;74322;Teasc;Teasc;22;3;TEASC;TEASC;3;4;207570;16;DJ
74340;74322;Secui;Teasc;23;3;SECUI;TEASC;3;4;207571;16;DJ
74368;74359;"Terpeziţa";"Terpeziţa";22;3;TERPEZITA;TERPEZITA;3;4;207575;16;DJ
74386;74359;"Căciulatu";"Terpeziţa";23;3;CACIULATU;TERPEZITA;3;4;207576;16;DJ
74377;74359;"Căruia";"Terpeziţa";23;3;CARUIA;TERPEZITA;3;4;207577;16;DJ
74395;74359;Floran;"Terpeziţa";23;3;FLORAN;TERPEZITA;3;4;207578;16;DJ
74402;74359;Lazu;"Terpeziţa";23;3;LAZU;TERPEZITA;3;4;207579;16;DJ
74420;74411;Teslui;Teslui;22;3;TESLUI;TESLUI;3;4;207580;16;DJ
74439;74411;"Coşereni";Teslui;23;3;COSERENI;TESLUI;3;4;207581;16;DJ
74448;74411;Fântânele;Teslui;23;3;FANTINELE;TESLUI;3;4;207582;16;DJ
74457;74411;"Preajba de Jos";Teslui;23;3;"PREAJBA DE JOS";TESLUI;3;4;207583;16;DJ
74466;74411;"Preajba de Pădure";Teslui;23;3;"PREAJBA DE PADURE";TESLUI;3;4;207584;16;DJ
74475;74411;"Ţărţăl";Teslui;23;3;TARTAL;TESLUI;3;4;207585;16;DJ
74484;74411;Urieni;Teslui;23;3;URIENI;TESLUI;3;4;207587;16;DJ
74493;74411;"Viişoara Moşneni";Teslui;23;3;"VIISOARA MOSNENI";TESLUI;3;4;207588;16;DJ
74518;74509;"Ţuglui";"Ţuglui";22;3;TUGLUI;TUGLUI;3;4;207590;16;DJ
74527;74509;Jiul;"Ţuglui";23;3;JIUL;TUGLUI;3;4;207591;16;DJ
74545;74536;Unirea;Unirea;22;3;UNIREA;UNIREA;3;4;207595;16;DJ
74563;74554;"Urzicuţa";"Urzicuţa";22;3;URZICUTA;URZICUTA;3;4;207600;16;DJ
74572;74554;"Urzica Mare";"Urzicuţa";23;3;"URZICA MARE";URZICUTA;3;4;207601;16;DJ
74590;74581;"Valea Stanciului";"Valea Stanciului";22;3;"VALEA STANCIULUI";"VALEA STANCIULUI";3;4;207605;16;DJ
74607;74581;"Horezu Poenari";"Valea Stanciului";23;3;"HOREZU POENARI";"VALEA STANCIULUI";3;4;207606;16;DJ
74741;74732;Vârtop;Vârtop;22;3;VARTOP;VARTOP;3;4;207610;16;DJ
74769;74750;"Vârvoru de Jos";"Vârvoru de Jos";22;3;"VARVORU DE JOS";"VARVORU DE JOS";3;4;207615;16;DJ
74778;74750;Bujor;"Vârvoru de Jos";23;3;BUJOR;"VARVORU DE JOS";3;4;207616;16;DJ
74787;74750;Ciutura;"Vârvoru de Jos";23;3;CIUTURA;"VARVORU DE JOS";3;4;207617;16;DJ
74796;74750;Criva;"Vârvoru de Jos";23;3;CRIVA;"VARVORU DE JOS";3;4;207618;16;DJ
74803;74750;Dobromira;"Vârvoru de Jos";23;3;DOBROMIRA;"VARVORU DE JOS";3;4;207619;16;DJ
74812;74750;"Drăgoaia";"Vârvoru de Jos";23;3;DRAGOAIA;"VARVORU DE JOS";3;4;207621;16;DJ
74821;74750;Gabru;"Vârvoru de Jos";23;3;GABRU;"VARVORU DE JOS";3;4;207622;16;DJ
74830;74750;Vârvor;"Vârvoru de Jos";23;3;VARVOR;"VARVORU DE JOS";3;4;207623;16;DJ
74625;74616;Vela;Vela;22;3;VELA;VELA;3;4;207625;16;DJ
74634;74616;Bucovicior;Vela;23;3;BUCOVICIOR;VELA;3;4;207626;16;DJ
74643;74616;"Cetăţuia";Vela;23;3;CETATUIA;VELA;3;4;207627;16;DJ
74652;74616;"Desnăţui";Vela;23;3;DESNATUI;VELA;3;4;207628;16;DJ
74661;74616;Gubaucea;Vela;23;3;GUBAUCEA;VELA;3;4;207629;16;DJ
74670;74616;"Segleţ";Vela;23;3;SEGLET;VELA;3;4;207631;16;DJ
74698;74616;"Ştiubei";Vela;23;3;STIUBEI;VELA;3;4;207633;16;DJ
74689;74616;Suharu;Vela;23;3;SUHARU;VELA;3;4;207632;16;DJ
74714;74705;"Verbiţa";"Verbiţa";22;3;VERBITA;VERBITA;3;4;207635;16;DJ
74723;74705;Verbicioara;"Verbiţa";23;3;VERBICIOARA;VERBITA;3;4;207636;16;DJ
30620;30568;"Vărzari";"Popeşti";23;3;VARZARI;POPESTI;3;6;417396;5;BH
35278;35269;Uriu;Uriu;22;3;URIU;URIU;3;6;427365;6;BN
38900;38893;"Santa Mare";"Santa Mare";22;3;"SANTA MARE";"SANTA MARE";3;1;717345;7;BT
38919;38893;"Bădărăi";"Santa Mare";23;3;BADARAI;"SANTA MARE";3;1;717346;7;BT
38928;38893;Berza;"Santa Mare";23;3;BERZA;"SANTA MARE";3;1;717347;7;BT
38937;38893;"Bogdăneşti";"Santa Mare";23;3;BOGDANESTI;"SANTA MARE";3;1;717348;7;BT
38946;38893;"Durneşti";"Santa Mare";23;3;DURNESTI;"SANTA MARE";3;1;717349;7;BT
38955;38893;"Ilişeni";"Santa Mare";23;3;ILISENI;"SANTA MARE";3;1;717351;7;BT
38964;38893;"Rânghileşti";"Santa Mare";23;3;RANGHILESTI;"SANTA MARE";3;1;717352;7;BT
38973;38893;"Rânghileşti-Deal";"Santa Mare";23;3;RANGHILESTI-DEAL;"SANTA MARE";3;1;717353;7;BT
39131;39122;"Şendriceni";"Şendriceni";22;3;SENDRICENI;SENDRICENI;3;1;717380;7;BT
39140;39122;"Horlăceni";"Şendriceni";23;3;HORLACENI;SENDRICENI;3;1;717381;7;BT
39159;39122;"Pădureni";"Şendriceni";23;3;PADURENI;SENDRICENI;3;1;717382;7;BT
35893;35884;"Stăuceni";"Stăuceni";22;3;STAUCENI;STAUCENI;3;1;717355;7;BT
35900;35884;"Siliştea";"Stăuceni";23;3;SILISTEA;STAUCENI;3;1;717356;7;BT
35919;35884;Tocileni;"Stăuceni";23;3;TOCILENI;STAUCENI;3;1;717357;7;BT
40759;40704;Viscri;"Buneşti";23;3;VISCRI;BUNESTI;3;7;507039;8;BV
43796;43787;Romanu;Romanu;22;3;ROMANU;ROMANU;3;2;817115;9;BR
8407;8354;Lunca;"Valea Lungă";23;3;LUNCA;"VALEA LUNGA";3;7;517819;1;AB
18386;18331;Nejlovelu;"Răteşti";23;3;NEJLOVELU;RATESTI;3;3;117614;3;AG
21481;21454;"Brăteşti";"Bârsăneşti";23;3;BRATESTI;BARSANESTI;3;1;607037;4;BC
87987;87843;Voia;"Balşa";23;3;VOIA;BALSA;3;5;337031;20;HD
27944;27935;Bulz;Bulz;22;3;BULZ;BULZ;3;6;417110;5;BH
32116;32090;"Fâşca";Vârciorog;23;3;FASCA;VARCIOROG;3;6;417621;5;BH
35795;35759;Hudum;"Curteşti";23;3;HUDUM;CURTESTI;3;1;717113;7;BT
55179;55160;Mica;Mica;22;3;MICA;MICA;3;6;407395;12;CJ
60730;60721;Tuzla;Tuzla;22;3;TUZLA;TUZLA;3;2;907295;13;CT
69223;69170;Saru;"Valea Mare";23;3;SARU;"VALEA MARE";3;3;137489;15;DB
142328;142284;Sici;Pericei;23;3;SICI;PERICEI;3;6;457268;31;SJ
71322;71260;"Roşieni";Breasta;23;3;ROSIENI;BREASTA;3;4;207121;16;DJ
165096;165069;Pâhna;"Olteneşti";23;3;PIHNA;OLTENESTI;3;1;737382;37;VS
84969;84923;"Călugăreni";"Mărtiniş";23;3;CALUGARENI;MARTINIS;3;7;537178;19;HR
1473;1455;"Bonceşti";"Oraş Câmpeni";18;1;BONCESTI;"ORAS CAMPENI";2;7;515501;1;AB
1482;1455;"Borleşti";"Oraş Câmpeni";18;1;BORLESTI;"ORAS CAMPENI";2;7;515502;1;AB
1491;1455;"Boteşti";"Oraş Câmpeni";18;1;BOTESTI;"ORAS CAMPENI";2;7;515503;1;AB
1507;1455;Certege;"Oraş Câmpeni";18;1;CERTEGE;"ORAS CAMPENI";2;7;515504;1;AB
1516;1455;"Coasta Vâscului";"Oraş Câmpeni";18;1;"COASTA VASCULUI";"ORAS CAMPENI";2;7;515505;1;AB
1525;1455;"Dănduţ";"Oraş Câmpeni";18;1;DANDUT;"ORAS CAMPENI";2;7;515506;1;AB
1534;1455;"Dealu Bistrii";"Oraş Câmpeni";18;1;"DEALU BISTRII";"ORAS CAMPENI";2;7;515507;1;AB
1543;1455;"Dealu Capsei";"Oraş Câmpeni";18;1;"DEALU CAPSEI";"ORAS CAMPENI";2;7;515508;1;AB
1552;1455;Dric;"Oraş Câmpeni";18;1;DRIC;"ORAS CAMPENI";2;7;515509;1;AB
1561;1455;"Faţa Abrudului";"Oraş Câmpeni";18;1;"FATA ABRUDULUI";"ORAS CAMPENI";2;7;515510;1;AB
1570;1455;"Floreşti";"Oraş Câmpeni";18;1;FLORESTI;"ORAS CAMPENI";2;7;515511;1;AB
1589;1455;"Furduieşti";"Oraş Câmpeni";18;1;FURDUIESTI;"ORAS CAMPENI";2;7;515512;1;AB
1598;1455;"Mihoeşti";"Oraş Câmpeni";18;1;MIHOESTI;"ORAS CAMPENI";2;7;515513;1;AB
1605;1455;"Motorăşti";"Oraş Câmpeni";18;1;MOTORASTI;"ORAS CAMPENI";2;7;515514;1;AB
1614;1455;"Peste Valea Bistrii";"Oraş Câmpeni";18;1;"PESTE VALEA BISTRII";"ORAS CAMPENI";2;7;515515;1;AB
1623;1455;Poduri;"Oraş Câmpeni";18;1;PODURI;"ORAS CAMPENI";2;7;515516;1;AB
1632;1455;"Sorliţa";"Oraş Câmpeni";18;1;SORLITA;"ORAS CAMPENI";2;7;515517;1;AB
1641;1455;"Tomuşeşti";"Oraş Câmpeni";18;1;TOMUSESTI;"ORAS CAMPENI";2;7;515518;1;AB
1650;1455;"Valea Bistrii";"Oraş Câmpeni";18;1;"VALEA BISTRII";"ORAS CAMPENI";2;7;515519;1;AB
1669;1455;"Valea Caselor";"Oraş Câmpeni";18;1;"VALEA CASELOR";"ORAS CAMPENI";2;7;515520;1;AB
1678;1455;"Vârşi";"Oraş Câmpeni";18;1;VARSI;"ORAS CAMPENI";2;7;515521;1;AB
96263;96254;Ciurea;Ciurea;22;3;CIUREA;CIUREA;3;1;707080;22;IS
96272;96254;"Curături";Ciurea;23;3;CURATURI;CIUREA;3;1;707081;22;IS
96281;96254;Dumbrava;Ciurea;23;3;DUMBRAVA;CIUREA;3;1;707082;22;IS
96290;96254;Hlincea;Ciurea;23;3;HLINCEA;CIUREA;3;1;707083;22;IS
96307;96254;"Lunca Cetăţuii";Ciurea;23;3;"LUNCA CETATUII";CIUREA;3;1;707085;22;IS
96316;96254;"Picioru Lupului";Ciurea;23;3;"PICIORU LUPULUI";CIUREA;3;1;707084;22;IS
96325;96254;Slobozia;Ciurea;23;3;SLOBOZIA;CIUREA;3;1;707086;22;IS
96343;96334;"Coarnele Caprei";"Coarnele Caprei";22;3;"COARNELE CAPREI";"COARNELE CAPREI";3;1;707100;22;IS
119064;118995;"Leniş";Râciu;23;3;LENIS;RICIU;3;7;547491;26;MS
19409;19392;Uda;Uda;22;3;UDA;UDA;3;3;117755;3;AG
28255;28246;Cefa;Cefa;22;3;CEFA;CEFA;3;6;417145;5;BH
59997;59942;Cetan;Vad;23;3;CETAN;VAD;3;6;407579;12;CJ
144722;144713;Jina;Jina;22;3;JINA;JINA;3;7;557110;32;SB
133599;133562;Cuib;Gornet;23;3;CUIB;GORNET;3;3;107287;29;PH
115487;115389;Petea;Band;23;3;PETEA;BAND;3;7;547075;26;MS
137381;137363;Cehal;Cehal;23;3;CEHAL;CEHAL;3;6;447095;30;SM
141955;141946;Marca;Marca;22;3;MARCA;MARCA;3;6;457230;31;SJ
153179;155145;"Pleaşov";Saelele;23;3;PLEASOV;SAELELE;3;3;147181;34;TR
156268;156259;Cenad;Cenad;22;3;CENAD;CENAD;3;5;307095;35;TM
157059;157031;Jena;Gavojdia;23;3;JENA;GAVOJDIA;3;5;307181;35;TM
157282;157273;Giera;Giera;22;3;GIERA;GIERA;3;5;307215;35;TM
164605;164598;Laza;Laza;22;3;LAZA;LAZA;3;1;737325;37;VS
166146;166137;"Şuletea";"Şuletea";22;3;SULETEA;SULETEA;3;1;737505;37;VS
168238;168229;Alunu;Alunu;22;3;ALUNU;ALUNU;3;4;247005;38;VL
35928;35884;Victoria;"Stăuceni";23;3;VICTORIA;STAUCENI;3;1;717358;7;BT
39177;39168;"Ştefăneşti";"Oraş Ştefăneşti";17;1;STEFANESTI;"ORAS STEFANESTI";2;1;717385;7;BT
39186;39168;"Bădiuţi";"Oraş Ştefăneşti";18;1;BADIUTI;"ORAS STEFANESTI";2;1;717386;7;BT
39195;39168;"Bobuleşti";"Oraş Ştefăneşti";18;1;BOBULESTI;"ORAS STEFANESTI";2;1;717387;7;BT
39202;39168;Stânca;"Oraş Ştefăneşti";18;1;STANCA;"ORAS STEFANESTI";2;1;717388;7;BT
